Slope Mean,Slope Std,Aspect Mean,Aspect Std,Roughness,TPI Mean,TPI Std,Average Elevation
0.13019274,0.059016895,-1.3396738,0.42716703,8.941049,3.7536623e-09,0.025402796,41.890347
0.074615225,0.044727214,-1.2086397,0.9221191,4.0087657,6.958008e-09,0.021211578,61.51848
0.05850558,0.050058775,-0.16615511,1.3778985,2.3718536,1.0864258e-08,0.024047961,69.179474
0.046419427,0.035015065,0.11863125,1.4514073,1.862962,4.760742e-09,0.021245306,68.628334
0.048185267,0.036428735,-0.06448518,1.2207849,2.4809012,-1.4709473e-08,0.019692728,68.07354
0.04873516,0.034914065,-0.07100293,1.0248574,2.7735035,-1.8310546e-09,0.01881053,69.21298
0.08746296,0.039921414,1.6438065,0.78084564,5.334858,-5.6640626e-08,0.019398864,200.84424
0.06648597,0.047822148,1.4201422,1.0228466,3.3924341,7.324219e-10,0.021224095,184.85968
0.04612988,0.027656214,1.3243523,0.8318483,2.737137,4.8828125e-10,0.01598196,173.30661
0.04061722,0.016765287,1.5667328,0.62061816,2.5650918,6.1035155e-09,0.010432168,165.23778
0.04173085,0.021514112,0.9650814,1.3900566,1.7641654,1.196289e-08,0.011204167,157.17186
0.074101046,0.039757,1.2865855,0.83882755,4.369297,-1.3183594e-08,0.020093026,146.57791
0.07487706,0.048559867,1.0214994,0.8633802,4.1551023,-1.7822266e-08,0.025614943,132.57513
0.15884101,0.17160478,0.26215547,1.4490821,4.768242,2.4414062e-09,0.046265543,122.829956
0.073795274,0.04625029,-0.40990427,1.3945814,3.5322263,1.977539e-08,0.019012708,132.32104
0.08572579,0.06602364,-0.24262707,1.075689,4.242843,-1.7578126e-08,0.026072139,137.11732
0.09838957,0.06363013,0.05076,0.552344,6.2072334,-1.2939453e-08,0.021690585,134.62805
0.13803336,0.07884818,0.14714615,0.64309394,9.119552,5.737305e-09,0.034094274,131.8771
0.13448937,0.09504149,-0.3572673,0.7158922,8.99392,-1.599121e-08,0.0272886,133.87212
0.094849326,0.06167894,-0.11246113,0.6721285,5.915348,-1.4038086e-08,0.022784926,140.90509
0.09455468,0.055442795,-0.18001872,0.64454496,5.960256,-1.0498047e-08,0.024802983,144.54442
0.09618657,0.06497576,0.20535387,0.92270106,6.0700502,-2.0751953e-08,0.02322776,145.8022
0.07809461,0.05249392,1.3931966,1.1745026,4.164382,2.6733398e-08,0.016990025,138.63507
0.09039604,0.03855742,1.7200336,0.6951399,6.0121217,-2.319336e-08,0.017382469,122.73318
0.06532845,0.03761977,1.006493,1.5486518,2.9762812,1.8676758e-08,0.019017542,105.97573
0.057010967,0.038742594,0.77127504,1.6005554,2.4363496,4.5166018e-09,0.025681417,98.49701
0.12542129,0.09475275,0.12392928,2.1340468,3.900697,-7.69043e-09,0.0368412,93.85811
0.18007034,0.15029873,0.803292,1.5611693,7.074164,-3.4179688e-09,0.044854548,82.12039
0.13660695,0.13038166,-0.49885517,1.4965473,5.6755037,-2.685547e-09,0.033694368,81.7116
0.048353165,0.03741077,0.68317956,1.5740048,2.1859415,-2.685547e-09,0.02053669,85.10902
0.07622739,0.07634185,0.997125,1.5527741,2.564436,5.2490234e-09,0.027546048,77.22509
0.06653397,0.06482109,1.2266669,1.1755003,2.9498875,-3.967285e-09,0.024046596,67.98974
0.06048044,0.062116873,0.7798182,1.2304178,2.5438766,-2.5634765e-09,0.02547945,60.573933
0.13202837,0.14683896,1.0176854,1.3860135,5.164252,6.0424803e-09,0.04197292,51.516727
0.10718411,0.09607897,1.5781943,1.0744781,6.3761487,5.0964357e-09,0.02660633,34.95253
0.15752853,0.11735098,0.5384661,1.8379401,6.1840754,-9.765625e-10,0.031996857,29.866686
0.1270615,0.16359493,0.5433299,1.6931796,4.0117497,1.5182495e-09,0.050225258,11.495473
0.01643527,0.012092338,-0.021040788,1.6177679,0.28302345,1.373291e-09,0.013428257,10.520103
0.030865576,0.03586854,-0.33225363,1.4564854,1.365079,-1.3122559e-09,0.017633561,10.911776
0.10278523,0.07181824,-1.1667037,0.7767261,6.1853356,-5.355835e-09,0.029938456,22.23898
0.09791868,0.06634519,-1.48019,0.8389321,5.4637575,6.713867e-10,0.028521255,43.686188
0.1081401,0.08886693,-1.3507637,1.0555009,6.5392685,7.2631834e-09,0.033747215,61.721123
0.05213851,0.052105702,0.15071602,1.891124,0.90649647,7.324219e-10,0.025255298,71.71612
0.042217482,0.039193377,-0.4367345,1.8878999,0.8983027,-1.0742188e-08,0.020596644,70.15992
0.035749372,0.035400793,0.041769445,1.6523091,0.63117725,-1.2817383e-08,0.017484603,71.3988
0.040847,0.04117072,-0.24016237,1.955263,0.9015684,9.521484e-09,0.020884667,71.895485
0.0938987,0.06689414,1.6460847,1.3249687,5.0296316,3.833008e-08,0.030563546,195.66042
0.061472677,0.048291493,1.4457629,1.310778,2.4952793,1.8798827e-08,0.02209243,183.61162
0.079271466,0.060028292,1.5360336,1.0987829,4.2789598,1.171875e-08,0.02419855,172.2245
0.09340881,0.13825482,1.142616,1.8927511,2.899637,-1.7333985e-08,0.032342054,161.41429
0.08445972,0.076665536,0.12899975,2.40769,4.026141,-7.324219e-10,0.01834768,152.66147
0.07106628,0.059391942,0.62376237,1.5881327,3.216068,-5.371094e-09,0.020456616,149.08888
0.11276339,0.14805466,0.8600478,0.9157988,5.392034,-7.2021487e-09,0.035046287,139.58704
0.19615415,0.22589487,0.1667219,1.0557575,7.6384063,-8.544922e-10,0.055278987,133.83447
0.13225627,0.12600695,-0.49751312,1.2562351,4.3261666,1.2695312e-08,0.036371518,136.49684
0.06724773,0.04234292,-0.5509114,0.9291109,4.28459,-2.0996094e-08,0.013019305,148.44373
